-330	306	372	-89	-219	-53	179	266
-461	153	-167	-220	-12	6	-388	-245
-475	-79	-245	44	-271	-213	-183	262
120	382	201	290	-320	-2	223	-87
475	-92	-342	-151	-159	-332	-7	-79
-396	-463	13	471	-117	327	345	418
413	26	-45	-206	-450	464	-437	380
-481	-5	33	57	-90	208	439	-55
260	-315	383	-246	-429	97	-39	-421
-260	198	-244	-427	-272	-3	-200	-17
-430	-188	-116	-397	260	152	-283	83
-209	-429	-351	-167	-353	274	-147	469
274	-294	310	-177	-267	156	255	-13
160	-215	411	312	-34	463	478	-26
-108	-479	278	-89	114	465	179	-158
-362	154	-233	-238	-103	-199	32	377
-159	60	-326	382	350	270	345	56
172	-231	338	-443	-262	-157	-8	251
317	393	-211	-38	185	-171	-207	380
-260	7	288	-451	92	415	-274	-11
-361	158	375	-429	16	-5	-368	227
-83	244	437	387	-371	-338	456	128
196	-402	-195	297	90	-165	-3	266
-130	-211	20	419	-110	23	-486	-307
144	-61	-296	-4	444	62	59	-12
376	433	-382	74	71	141	-110	384
-319	-266	-66	-250	184	-24	0	368
100	45	-362	-344	116	430	130	-159
489	325	-480	453	284	-308	124	305
420	-302	338	-144	-386	-331	-165	33
488	445	-463	-445	146	401	89	428
-154	65	178	58	-427	24	53	-341
-470	-42	493	270	300	-134	-380	-38
316	82	-383	-104	-370	-422	-276	-143
-16	-281	-379	-241	433	-370	122	395
406	-270	16	-107	-20	240	214	356
240	-361	189	232	-402	304	6	-205
386	-61	-291	400	376	495	245	-302
-334	-184	446	-213	208	249	-249	381
7	-163	466	-196	-231	450	-349	149
412	72	-377	-489	139	-172	140	-9
-68	416	355	348	269	-269	-374	20
442	-459	-137	-327	402	-468	-191	-13
357	481	-137	313	-16	-94	208	246
-360	134	-228	432	141	-351	33	387
293	-458	151	273	479	469	295	61
-234	426	341	-497	-1	-399	-281	468
-175	-411	264	416	241	394	382	247
-117	324	157	132	405	464	-113	170
377	127	348	-248	-188	495	-350	48
-91	-293	-151	-237	-483	30	-165	75
268	288	-31	170	-395	-338	-104	-419
364	-265	348	-74	-336	220	-471	226
14	245	275	-269	61	-323	-276	93
59	-223	252	27	-22	187	51	82
-77	436	213	234	-182	366	174	-55
312	-45	297	-128	-23	-98	-84	98
-468	422	-361	281	-398	48	286	-442
178	352	382	-202	145	193	-349	-108
-140	1	-404	-370	-424	0	412	127
-137	-141	276	-128	-122	-224	236	-403
130	86	-443	-314	-213	107	-317	-448
-367	227	-164	-71	204	436	337	121
-360	189	-177	464	-458	491	77	329
-248	-60	-134	268	-342	-359	-391	346
427	-160	119	-324	80	396	22	-309
55	-493	-363	341	19	-36	-323	139
159	-51	-205	57	449	108	-290	-469
-35	309	-366	-287	-409	412	466	-202
-256	118	442	-187	-434	-12	-178	-151
107	-366	-455	-240	-395	-145	-254	129
-361	207	286	-473	-169	251	119	175
140	384	81	403	-332	376	422	-397
-46	-259	-267	-167	-76	307	24	131
216	-64	222	-48	-404	208	12	490
50	-465	-497	-376	-304	-275	-4	-152
152	318	371	-308	406	-273	312	-350
188	453	268	-75	-406	-64	119	308
-225	-339	-267	-181	-76	412	-486	369
282	-153	307	39	381	-405	194	-23
-57	323	-365	121	73	-79	-367	339
261	-479	-458	372	427	-133	59	-123
139	396	177	75	-234	429	-440	418
-188	210	316	-377	117	-66	-100	-339
198	-6	-16	101	474	-388	398	-118
-378	-21	-424	-446	-338	117	381	-61
131	159	-273	-206	107	499	161	-361
333	-181	-357	482	166	315	-212	-454
317	-54	-14	-360	266	306	-19	374
126	-271	254	197	-156	477	455	-331
472	127	209	-2	411	322	237	419
217	94	138	-52	82	-70	86	187
-197	-242	304	-445	32	-58	-370	251
-292	105	-220	123	-191	191	-60	216
-293	474	-178	-416	-212	-59	-117	450
-293	-98	401	179	-109	-328	213	126
-30	157	158	464	-350	-156	245	-251
-358	206	-381	-392	194	-104	437	324
287	-272	166	493	-370	-448	77	423
156	377	-111	-293	446	-85	-491	-3
218	431	-256	231	51	58	-189	325
-470	243	28	58	205	-239	-350	-326
-228	-116	334	303	-160	139	194	159
85	-268	478	103	-179	-449	-352	-478
-77	447	475	165	337	500	-455	-232
-81	97	77	440	-89	61	252	477
-493	484	106	206	-82	-157	-196	356
-352	-303	118	-113	-485	-73	471	-464
349	-235	-37	-240	434	416	-159	325
